,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
165,EPX,Travel Agency,Online,2 way Comprehensive Plan,112,SINGAPORE,79.0,0.0,36,0
166,EPX,Travel Agency,Online,Cancellation Plan,326,PHILIPPINES,19.0,0.0,36,0
167,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,74,AUSTRALIA,138.6,83.16,50,0
168,EPX,Travel Agency,Online,Cancellation Plan,22,SINGAPORE,10.0,0.0,36,0
169,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,SWITZERLAND,49.5,29.7,35,0
170,EPX,Travel Agency,Online,Cancellation Plan,59,INDIA,18.0,0.0,30,0
171,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,36,0
172,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,36,0
173,C2B,Airlines,Online,Silver Plan,19,SINGAPORE,22.5,5.63,22,1
174,JZI,Airlines,Online,Basic Plan,43,PHILIPPINES,42.0,14.7,43,0
175,C2B,Airlines,Online,Silver Plan,44,SINGAPORE,39.0,9.75,50,0
176,EPX,Travel Agency,Online,Cancellation Plan,29,CZECH REPUBLIC,59.0,0.0,36,0
177,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,UNITED STATES,59.4,35.64,42,0
178,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,MALAYSIA,29.7,17.82,41,0
179,JZI,Airlines,Online,Basic Plan,27,THAILAND,22.0,7.7,39,0
180,JZI,Airlines,Online,Basic Plan,19,JAPAN,44.0,15.4,41,0
181,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,27,0
182,EPX,Travel Agency,Online,Cancellation Plan,16,SINGAPORE,10.0,0.0,70,0
183,EPX,Travel Agency,Online,Cancellation Plan,21,INDIA,26.0,0.0,36,0
184,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,"KOREA, REPUBLIC OF",29.7,17.82,25,0
185,JZI,Airlines,Online,Basic Plan,7,MALAYSIA,18.0,6.3,53,0
186,SSI,Airlines,Online,Ticket Protector,97,SINGAPORE,5.59,1.57,48,0
187,C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,33.5,8.38,20,0
188,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,17,FRANCE,29.7,17.82,51,0
189,TST,Travel Agency,Offline,Travel Cruise Protect,63,MALAYSIA,30.0,10.5,76,0
190,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,53.25,13.31,33,0
191,C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,65,0
192,C2B,Airlines,Online,Silver Plan,21,SINGAPORE,62.25,15.56,34,0
193,EPX,Travel Agency,Online,2 way Comprehensive Plan,35,VIET NAM,23.0,0.0,36,0
194,KML,Travel Agency,Online,Value Plan,74,GERMANY,75.0,28.5,48,0
195,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,Other,25.0,0.0,36,0
196,EPX,Travel Agency,Online,2 way Comprehensive Plan,21,Other,93.0,0.0,36,0
197,EPX,Travel Agency,Online,Cancellation Plan,60,JAPAN,30.0,0.0,36,0
198,EPX,Travel Agency,Online,Cancellation Plan,11,MALAYSIA,10.0,0.0,36,0
200,SSI,Airlines,Online,Ticket Protector,45,SINGAPORE,1.03,0.29,48,0
201,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,MALAYSIA,0.0,23.76,41,0
202,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,CHINA,27.0,0.0,36,0
203,C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,32.0,8.0,74,0
204,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,17,UNITED STATES,56.5,36.73,35,0
205,JZI,Airlines,Online,Value Plan,14,THAILAND,39.0,13.65,39,0
206,JZI,Airlines,Online,Value Plan,18,AUSTRALIA,58.0,20.3,48,0
207,C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,41,0
208,EPX,Travel Agency,Online,Cancellation Plan,38,Other,32.0,0.0,36,0
209,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,MALAYSIA,39.6,23.76,57,0
210,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,JAPAN,72.0,0.0,36,0
211,JZI,Airlines,Online,Basic Plan,39,SRI LANKA,22.0,7.7,29,0
212,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,HONG KONG,34.0,0.0,36,0
213,C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,29,0
214,JZI,Airlines,Online,Basic Plan,10,CHINA,22.0,7.7,66,0
215,JZI,Airlines,Online,Basic Plan,51,THAILAND,22.0,7.7,36,0
216,EPX,Travel Agency,Online,1 way Comprehensive Plan,38,SINGAPORE,20.0,0.0,36,0
217,EPX,Travel Agency,Online,Cancellation Plan,7,CHINA,37.0,0.0,36,0
218,EPX,Travel Agency,Online,Cancellation Plan,180,INDONESIA,10.0,0.0,28,0
219,EPX,Travel Agency,Offline,2 way Comprehensive Plan,23,INDONESIA,20.0,0.0,31,0
220,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,THAILAND,20.0,0.0,36,0
221,EPX,Travel Agency,Online,Cancellation Plan,39,UNITED KINGDOM,59.0,0.0,36,0
222,EPX,Travel Agency,Online,Cancellation Plan,7,PHILIPPINES,28.0,0.0,36,0
223,EPX,Travel Agency,Online,Cancellation Plan,2,INDIA,22.0,0.0,36,0
224,EPX,Travel Agency,Online,Cancellation Plan,160,Other,41.0,0.0,36,0
225,EPX,Travel Agency,Online,Cancellation Plan,25,INDIA,32.0,0.0,36,0
226,TTW,Travel Agency,Offline,Individual Comprehensive Plan,368,SINGAPORE,97.0,0.0,37,0
227,EPX,Travel Agency,Online,Cancellation Plan,73,Other,128.0,0.0,36,0
228,EPX,Travel Agency,Online,Cancellation Plan,39,HONG KONG,19.0,0.0,36,0
229,JZI,Airlines,Online,Value Plan,9,AUSTRALIA,45.0,15.75,45,1
230,C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,43,0
231,EPX,Travel Agency,Online,1 way Comprehensive Plan,26,INDONESIA,24.0,0.0,36,0
232,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,HONG KONG,29.0,0.0,35,0
233,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,65,AUSTRALIA,9.9,5.94,31,0
234,EPX,Travel Agency,Online,Cancellation Plan,11,SINGAPORE,80.0,0.0,36,0
235,JZI,Airlines,Online,Basic Plan,14,CHINA,26.0,9.1,45,0
236,EPX,Travel Agency,Online,2 way Comprehensive Plan,5,UNITED STATES,43.0,0.0,28,0
237,EPX,Travel Agency,Online,2 way Comprehensive Plan,93,INDONESIA,20.0,0.0,45,0
238,JZI,Airlines,Online,Value Plan,71,AUSTRALIA,58.0,20.3,28,0
239,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,MALAYSIA,19.8,11.88,47,0
240,EPX,Travel Agency,Online,1 way Comprehensive Plan,25,SINGAPORE,20.0,0.0,35,0
242,JZI,Airlines,Online,Basic Plan,0,CHINA,22.0,7.7,34,0
243,EPX,Travel Agency,Online,Cancellation Plan,2,INDIA,16.0,0.0,35,0
244,EPX,Travel Agency,Online,Cancellation Plan,34,UNITED STATES,21.0,0.0,32,0
245,EPX,Travel Agency,Online,Cancellation Plan,5,SINGAPORE,10.0,0.0,36,0
246,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CHINA,30.0,0.0,36,0
247,JZI,Airlines,Online,Basic Plan,9,SRI LANKA,26.0,9.1,63,0
248,EPX,Travel Agency,Online,Cancellation Plan,8,MALAYSIA,15.0,0.0,36,0
249,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,SINGAPORE,30.0,0.0,29,0
250,EPX,Travel Agency,Online,1 way Comprehensive Plan,28,INDONESIA,20.0,0.0,41,0
251,EPX,Travel Agency,Online,2 way Comprehensive Plan,76,JAPAN,45.0,0.0,36,0
252,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,UNITED KINGDOM,138.6,83.16,48,0
253,EPX,Travel Agency,Online,2 way Comprehensive Plan,19,CHINA,26.0,0.0,36,0
254,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,40.0,10.0,55,0
255,EPX,Travel Agency,Online,Cancellation Plan,17,SINGAPORE,10.0,0.0,39,0
256,EPX,Travel Agency,Online,Cancellation Plan,15,UNITED KINGDOM,66.0,0.0,36,0
257,EPX,Travel Agency,Online,Cancellation Plan,110,Other,80.0,0.0,36,0
258,EPX,Travel Agency,Online,Cancellation Plan,5,JAPAN,10.0,0.0,22,0
259,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,26.5,6.63,41,0
260,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,THAILAND,49.5,29.7,31,0
261,EPX,Travel Agency,Online,1 way Comprehensive Plan,2,MALAYSIA,20.0,0.0,21,0
262,SSI,Airlines,Online,Ticket Protector,146,SINGAPORE,0.19,0.05,48,0
263,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,AUSTRALIA,29.7,17.82,60,0
264,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,THAILAND,25.0,0.0,34,0
265,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,AUSTRALIA,49.5,29.7,48,0
266,JZI,Airlines,Online,Basic Plan,116,THAILAND,18.0,6.3,39,0
267,JZI,Airlines,Online,Basic Plan,2,CHINA,22.0,7.7,36,0
268,EPX,Travel Agency,Online,Cancellation Plan,129,MALAYSIA,10.0,0.0,41,0
269,EPX,Travel Agency,Online,Cancellation Plan,62,INDIA,50.0,0.0,36,0
270,EPX,Travel Agency,Online,1 way Comprehensive Plan,6,UNITED STATES,23.0,0.0,49,0
271,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,39.6,23.76,47,0
272,JZI,Airlines,Online,Value Plan,84,"KOREA, REPUBLIC OF",69.0,24.15,34,0
273,EPX,Travel Agency,Online,2 way Comprehensive Plan,63,Other,112.0,0.0,36,0
274,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,PHILIPPINES,20.0,0.0,36,0
275,C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,16.0,4.0,21,0
276,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,MALAYSIA,21.0,0.0,36,0
277,JZI,Airlines,Offline,Basic Plan,43,AUSTRALIA,83.0,29.05,59,0
278,EPX,Travel Agency,Online,Cancellation Plan,19,MYANMAR,34.0,0.0,36,0
279,EPX,Travel Agency,Online,2 way Comprehensive Plan,149,MALAYSIA,20.0,0.0,36,0
280,EPX,Travel Agency,Online,Cancellation Plan,73,VIET NAM,16.0,0.0,36,0
281,C2B,Airlines,Online,Silver Plan,6,SINGAPORE,35.5,8.88,29,0
282,JZI,Airlines,Online,Value Plan,17,CHINA,58.0,20.3,30,0
283,TST,Travel Agency,Offline,Travel Cruise Protect,38,MALAYSIA,30.0,10.5,63,0
284,EPX,Travel Agency,Online,2 way Comprehensive Plan,5,INDONESIA,38.0,0.0,35,0
285,EPX,Travel Agency,Online,2 way Comprehensive Plan,14,JAPAN,53.0,0.0,36,0
286,JZI,Airlines,Online,Basic Plan,39,HONG KONG,26.0,9.1,54,0
287,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,THAILAND,35.0,0.0,36,0
288,EPX,Travel Agency,Online,Cancellation Plan,70,UNITED STATES,80.0,0.0,59,0
289,EPX,Travel Agency,Online,Cancellation Plan,7,MALAYSIA,10.0,0.0,36,0
290,JZI,Airlines,Online,Basic Plan,4,MYANMAR,18.0,6.3,30,0
291,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,JAPAN,30.0,0.0,27,0
292,EPX,Travel Agency,Online,Cancellation Plan,3,CHINA,18.0,0.0,36,0
293,EPX,Travel Agency,Online,2 way Comprehensive Plan,62,INDONESIA,20.0,0.0,43,0
294,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,100,AUSTRALIA,59.4,35.64,31,0
295,EPX,Travel Agency,Online,Cancellation Plan,13,SINGAPORE,24.0,0.0,36,0
296,JZI,Airlines,Online,Basic Plan,68,CHINA,40.0,14.0,21,0
297,C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,28,0
298,C2B,Airlines,Online,Silver Plan,64,SINGAPORE,63.5,15.88,60,0
299,EPX,Travel Agency,Online,Cancellation Plan,8,HONG KONG,73.0,0.0,36,0
